node_index,x,y,z,label
0,-25.744300972421485,-32.892874222859874,-17.22381635581062,7Networks_LH_Vis_1
1,-25.455498525718028,-76.77099486731461,-13.582723599432128,7Networks_LH_Vis_2
2,-16.367791934848285,-60.909496913174834,-6.71732562721661,7Networks_LH_Vis_3
3,-27.22711837637211,-94.46308141830531,-4.660664929321641,7Networks_LH_Vis_4
4,-6.02267802975588,-92.364581828687,-3.149790553228371,7Networks_LH_Vis_5
5,-12.485724971948642,-65.19274404687695,5.820471262934802,7Networks_LH_Vis_6
6,-47.02122578933404,-70.95688511541523,10.532899973467764,7Networks_LH_Vis_7
7,-25.592894701361743,-88.01065120668734,20.54058244573278,7Networks_LH_Vis_8
8,-8.09874951656569,-81.27085213355679,26.548021142194145,7Networks_LH_Vis_9
9,-53.35308233347124,-22.337691352916835,7.849896565990903,7Networks_LH_SomMot_1
10,-37.2415596766524,-21.275083214455535,15.613409415121254,7Networks_LH_SomMot_2
11,-54.4518851997749,-11.461226786719195,13.658975801913343,7Networks_LH_SomMot_3
12,-54.532735731306026,-8.362532622262563,33.600930443662776,7Networks_LH_SomMot_4
13,-39.228838337017756,-23.330528417599652,58.9942237752264,7Networks_LH_SomMot_5
14,-11.211134856704476,-26.487752753575535,63.74864376130199,7Networks_LH_SomMot_6
15,-46.575744725962046,-56.8323438990777,-12.533234389907769,7Networks_LH_DorsAttn_Post_1
16,-57.407348473889776,-25.036597714451034,38.65702300014466,7Networks_LH_DorsAttn_Post_2
17,-25.11299516559636,-68.16429756836712,47.96161339201963,7Networks_LH_DorsAttn_Post_3
18,-41.60936439719521,-34.48970821081204,47.994571363944814,7Networks_LH_DorsAttn_Post_4
19,-6.286544708497175,-60.177295264147716,56.726619935031636,7Networks_LH_DorsAttn_Post_5
20,-22.405180268124425,-50.63529871144084,66.06690095014969,7Networks_LH_DorsAttn_Post_6
21,-48.10059867436391,6.0331409022877835,27.752726106478505,7Networks_LH_DorsAttn_PrCv_1
22,-26.988476405805557,-2.9466122091751146,58.986653052293775,7Networks_LH_DorsAttn_FEF_1
23,-58.58528735632184,-37.688735632183906,30.029540229885058,7Networks_LH_SalVentAttn_ParOper_1
24,-41.593842161141914,-1.5836970626400841,-6.677126341866227,7Networks_LH_SalVentAttn_FrOperIns_1
25,-38.14121212121212,12.083181818181828,6.399545454545461,7Networks_LH_SalVentAttn_FrOperIns_2
26,-29.669263572248646,43.59931113662458,29.637854682630802,7Networks_LH_SalVentAttn_PFCl_1
27,-5.692294417119683,19.684355854689784,33.661316765898704,7Networks_LH_SalVentAttn_Med_1
28,-10.606351550960113,-34.20328655834564,45.79911373707533,7Networks_LH_SalVentAttn_Med_2
29,-6.568025837706898,3.3381779033777548,61.493473287579064,7Networks_LH_SalVentAttn_Med_3
30,-14.205563137713654,32.40631702086176,-19.915708065249888,7Networks_LH_Limbic_OFC_1
31,-33.52684515541932,0.8566981177259407,-34.782556635854206,7Networks_LH_Limbic_TempPole_1
32,-56.89530502825677,-32.56716417910448,-20.875670192725693,7Networks_LH_Limbic_TempPole_2
33,-37.49981210071402,-53.87298008267568,46.35287485907554,7Networks_LH_Cont_Par_1
34,-43.09572538860104,32.58905440414509,20.197474093264248,7Networks_LH_Cont_PFCl_1
35,-9.722393000709388,-73.1563017261764,37.70986048711279,7Networks_LH_Cont_pCun_1
36,-4.26265998887034,-26.916805787423485,32.13800779076239,7Networks_LH_Cont_Cing_1
37,-55.33275459498294,-3.6436568281147146,-20.223313177273546,7Networks_LH_Default_Temp_1
38,-57.84827264239029,-31.85282446311858,-1.4934640522875782,7Networks_LH_Default_Temp_2
39,-57.098844493944036,-50.19643602951413,11.709870527634692,7Networks_LH_Default_Par_1
40,-47.20751909532785,-63.31648645967662,35.62330125979565,7Networks_LH_Default_Par_2
41,-34.78278972935461,21.484038861901467,-10.980222068008331,7Networks_LH_Default_PFC_1
42,-46.3150343106675,33.43711790393013,-1.705489706799753,7Networks_LH_Default_PFC_2
43,-6.1872688039457415,46.562422934648595,-0.7354346485820002,7Networks_LH_Default_PFC_3
44,-23.068329890354363,59.95129508978229,-1.4224535197838861,7Networks_LH_Default_PFC_4
45,-10.490206106479818,44.51173732931008,39.9644555822636,7Networks_LH_Default_PFC_5
46,-41.0253164556962,14.44989451476792,47.85258438818565,7Networks_LH_Default_PFC_6
47,-25.103770783847978,20.441805225653212,51.36831947743468,7Networks_LH_Default_PFC_7
48,-11.404456448345712,-55.873283817240605,13.03218546027459,7Networks_LH_Default_pCunPCC_1
49,-6.304424594931447,-52.670544245949316,33.12598670544246,7Networks_LH_Default_pCunPCC_2
50,31.6125575712003,-30.78014851019833,-21.342043425133944,7Networks_RH_Vis_1
51,26.95361809429204,-65.1740658668908,-11.628639107511269,7Networks_RH_Vis_2
52,49.346288684719525,-60.112427466150876,-11.054460831721471,7Networks_RH_Vis_3
53,22.46343651861821,-93.77074921489458,-3.7300519130936323,7Networks_RH_Vis_4
54,-1.0,-76.0,-3.5,7Networks_RH_Vis_5
55,16.675018839487564,-57.903636021100226,6.235305199698573,7Networks_RH_Vis_6
56,36.33165429480381,-81.57396606574761,16.797985153764586,7Networks_RH_Vis_7
57,13.153944672131146,-86.04704576502732,28.814976092896174,7Networks_RH_Vis_8
58,53.19224568138196,-15.710095969289824,6.085758157389634,7Networks_RH_SomMot_1
59,40.64399043686154,-15.725494457726583,14.973484025211917,7Networks_RH_SomMot_2
60,56.592833876221505,-4.30238870792617,11.708469055374593,7Networks_RH_SomMot_3
61,57.56240369799693,-5.158089368258857,30.66440677966102,7Networks_RH_SomMot_4
62,46.514003294892916,-10.460626029654037,48.200329489291605,7Networks_RH_SomMot_5
63,41.08431508431508,-21.52714252714253,59.53199353199352,7Networks_RH_SomMot_6
