node_index,consensus_module
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,1
16,2
17,3
18,2
19,4
20,2
21,3
22,2
23,2
24,2
25,2
26,3
27,3
28,2
29,2
30,0
31,0
32,0
33,3
34,3
35,4
36,4
37,0
38,0
39,0
40,4
41,0
42,0
43,4
44,0
45,4
46,4
47,4
48,4
49,4
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,4
67,2
68,3
69,3
70,2
71,3
72,2
73,2
74,2
75,2
76,2
77,2
78,0
79,0
80,3
81,4
82,0
83,3
84,3
85,4
86,4
87,3
88,4
89,4
90,0
91,0
92,0
93,0
94,0
95,4
96,4
97,4
98,4
99,4
