node_index,consensus_module_no_threshold
0,3
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,4
10,4
11,4
12,4
13,4
14,4
15,1
16,4
17,1
18,4
19,0
20,4
21,2
22,4
23,4
24,4
25,4
26,2
27,2
28,4
29,4
30,3
31,3
32,3
33,0
34,2
35,0
36,0
37,3
38,3
39,3
40,0
41,3
42,3
43,0
44,3
45,0
46,0
47,0
48,0
49,0
50,3
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,0
67,4
68,2
69,1
70,4
71,2
72,4
73,4
74,4
75,4
76,4
77,4
78,3
79,3
80,2
81,0
82,3
83,2
84,2
85,0
86,0
87,2
88,0
89,0
90,3
91,3
92,3
93,3
94,3
95,0
96,0
97,0
98,0
99,0
