node_index,consensus_module
0,4
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,3
10,3
11,3
12,5
13,5
14,5
15,2
16,5
17,5
18,5
19,1
20,5
21,0
22,5
23,3
24,3
25,3
26,0
27,0
28,5
29,5
30,4
31,4
32,4
33,1
34,0
35,1
36,1
37,4
38,4
39,3
40,1
41,4
42,4
43,4
44,4
45,1
46,1
47,1
48,1
49,1
50,4
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,3
59,3
60,3
61,5
62,5
63,5
64,5
65,5
66,1
67,5
68,5
69,5
70,5
71,0
72,5
73,3
74,3
75,3
76,5
77,5
78,4
79,4
80,0
81,1
82,4
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,4
91,4
92,4
93,4
94,4
95,4
96,1
97,1
98,1
99,1
