node_index,consensus_module_no_threshold
0,5
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,4
10,4
11,4
12,0
13,0
14,0
15,2
16,0
17,0
18,0
19,1
20,0
21,3
22,0
23,4
24,4
25,4
26,3
27,3
28,0
29,0
30,5
31,5
32,5
33,1
34,3
35,1
36,1
37,5
38,5
39,4
40,1
41,5
42,5
43,5
44,5
45,1
46,1
47,1
48,1
49,1
50,5
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,4
59,4
60,4
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,3
72,0
73,4
74,4
75,4
76,0
77,0
78,5
79,5
80,3
81,1
82,5
83,3
84,3
85,1
86,1
87,3
88,1
89,1
90,5
91,5
92,5
93,5
94,5
95,5
96,1
97,1
98,1
99,1
