sorted_position,original_node_index,consensus_module
0,27,0
1,26,0
2,21,0
3,34,0
4,80,0
5,83,0
6,87,0
7,71,0
8,84,0
9,40,1
10,46,1
11,47,1
12,36,1
13,35,1
14,48,1
15,19,1
16,85,1
17,97,1
18,98,1
19,99,1
20,96,1
21,89,1
22,86,1
23,88,1
24,33,1
25,81,1
26,66,1
27,45,1
28,49,1
29,54,2
30,1,2
31,2,2
32,15,2
33,53,2
34,51,2
35,52,2
36,55,2
37,56,2
38,3,2
39,4,2
40,6,2
41,5,2
42,7,2
43,8,2
44,57,2
45,9,3
46,73,3
47,75,3
48,74,3
49,60,3
50,58,3
51,59,3
52,39,3
53,23,3
54,25,3
55,24,3
56,10,3
57,11,3
58,44,4
59,41,4
60,0,4
61,37,4
62,31,4
63,30,4
64,32,4
65,38,4
66,90,4
67,91,4
68,92,4
69,82,4
70,95,4
71,79,4
72,94,4
73,93,4
74,78,4
75,50,4
76,43,4
77,42,4
78,29,5
79,28,5
80,63,5
81,62,5
82,61,5
83,18,5
84,16,5
85,20,5
86,12,5
87,13,5
88,14,5
89,22,5
90,17,5
91,64,5
92,65,5
93,77,5
94,72,5
95,76,5
96,70,5
97,69,5
98,68,5
99,67,5
