sorted_position,original_node_index,consensus_module_no_threshold
0,14,0
1,12,0
2,13,0
3,22,0
4,20,0
5,18,0
6,17,0
7,16,0
8,29,0
9,28,0
10,62,0
11,61,0
12,63,0
13,67,0
14,65,0
15,64,0
16,72,0
17,76,0
18,69,0
19,70,0
20,68,0
21,77,0
22,46,1
23,47,1
24,40,1
25,36,1
26,35,1
27,48,1
28,49,1
29,33,1
30,19,1
31,45,1
32,96,1
33,81,1
34,86,1
35,88,1
36,89,1
37,85,1
38,66,1
39,99,1
40,98,1
41,97,1
42,8,2
43,1,2
44,6,2
45,5,2
46,7,2
47,15,2
48,53,2
49,55,2
50,56,2
51,57,2
52,52,2
53,51,2
54,54,2
55,4,2
56,3,2
57,2,2
58,21,3
59,87,3
60,80,3
61,26,3
62,27,3
63,34,3
64,84,3
65,83,3
66,71,3
67,24,4
68,9,4
69,10,4
70,11,4
71,23,4
72,73,4
73,75,4
74,74,4
75,39,4
76,25,4
77,60,4
78,58,4
79,59,4
80,50,5
81,38,5
82,32,5
83,37,5
84,43,5
85,42,5
86,41,5
87,44,5
88,30,5
89,0,5
90,31,5
91,91,5
92,79,5
93,82,5
94,90,5
95,78,5
96,95,5
97,94,5
98,93,5
99,92,5
