sorted_position,original_node_index,consensus_module_no_threshold
0,19,0
1,43,0
2,46,0
3,45,0
4,47,0
5,36,0
6,48,0
7,49,0
8,40,0
9,33,0
10,35,0
11,88,0
12,89,0
13,95,0
14,86,0
15,66,0
16,96,0
17,85,0
18,81,0
19,99,0
20,98,0
21,97,0
22,55,1
23,52,1
24,54,1
25,53,1
26,51,1
27,1,1
28,6,1
29,5,1
30,3,1
31,2,1
32,15,1
33,8,1
34,17,1
35,57,1
36,69,1
37,56,1
38,7,1
39,4,1
40,71,2
41,68,2
42,84,2
43,80,2
44,27,2
45,26,2
46,83,2
47,87,2
48,34,2
49,21,2
50,0,3
51,30,3
52,32,3
53,37,3
54,41,3
55,42,3
56,44,3
57,50,3
58,31,3
59,91,3
60,90,3
61,82,3
62,38,3
63,39,3
64,93,3
65,94,3
66,79,3
67,78,3
68,92,3
69,59,4
70,61,4
71,60,4
72,63,4
73,62,4
74,20,4
75,18,4
76,24,4
77,25,4
78,29,4
79,28,4
80,9,4
81,13,4
82,14,4
83,11,4
84,10,4
85,58,4
86,12,4
87,16,4
88,23,4
89,22,4
90,74,4
91,75,4
92,65,4
93,67,4
94,76,4
95,77,4
96,70,4
97,64,4
98,72,4
99,73,4
