node_index,consensus_module_no_threshold
0,4
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,3
10,3
11,3
12,3
13,3
14,3
15,1
16,3
17,1
18,3
19,0
20,3
21,2
22,3
23,3
24,3
25,3
26,2
27,2
28,3
29,3
30,4
31,4
32,4
33,2
34,2
35,0
36,0
37,4
38,4
39,4
40,0
41,4
42,4
43,0
44,4
45,0
46,0
47,0
48,0
49,0
50,4
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,0
67,3
68,2
69,1
70,3
71,2
72,3
73,3
74,3
75,3
76,3
77,3
78,4
79,4
80,2
81,0
82,4
83,2
84,2
85,0
86,0
87,2
88,0
89,0
90,4
91,4
92,4
93,4
94,4
95,0
96,0
97,0
98,0
99,0
