sorted_position,original_node_index,consensus_module_no_threshold
0,19,0
1,40,0
2,46,0
3,45,0
4,47,0
5,43,0
6,36,0
7,49,0
8,48,0
9,35,0
10,81,0
11,88,0
12,89,0
13,95,0
14,86,0
15,66,0
16,96,0
17,85,0
18,98,0
19,99,0
20,97,0
21,54,1
22,51,1
23,52,1
24,57,1
25,53,1
26,3,1
27,1,1
28,6,1
29,5,1
30,7,1
31,2,1
32,15,1
33,8,1
34,17,1
35,4,1
36,69,1
37,56,1
38,55,1
39,80,2
40,71,2
41,68,2
42,84,2
43,21,2
44,27,2
45,26,2
46,83,2
47,87,2
48,33,2
49,34,2
50,11,3
51,10,3
52,24,3
53,25,3
54,58,3
55,29,3
56,16,3
57,18,3
58,20,3
59,9,3
60,13,3
61,12,3
62,22,3
63,28,3
64,23,3
65,14,3
66,77,3
67,76,3
68,70,3
69,64,3
70,73,3
71,72,3
72,75,3
73,74,3
74,67,3
75,59,3
76,60,3
77,63,3
78,61,3
79,62,3
80,65,3
81,50,4
82,37,4
83,38,4
84,39,4
85,41,4
86,42,4
87,44,4
88,30,4
89,0,4
90,31,4
91,32,4
92,79,4
93,78,4
94,82,4
95,90,4
96,94,4
97,93,4
98,92,4
99,91,4
