sorted_position,original_node_index,consensus_module
0,58,0
1,59,0
2,60,0
3,61,0
4,63,0
5,62,0
6,73,0
7,72,0
8,71,0
9,70,0
10,69,0
11,68,0
12,67,0
13,66,0
14,65,0
15,64,0
16,80,0
17,81,0
18,85,0
19,89,0
20,75,0
21,74,0
22,12,1
23,11,1
24,24,1
25,23,1
26,13,1
27,14,1
28,10,1
29,9,1
30,17,1
31,25,1
32,39,1
33,33,1
34,21,1
35,22,1
36,40,1
37,38,1
38,46,1
39,47,1
40,20,1
41,18,1
42,16,1
43,36,2
44,29,2
45,28,2
46,49,2
47,19,2
48,56,3
49,55,3
50,53,3
51,54,3
52,57,3
53,51,3
54,50,3
55,52,3
56,79,3
57,88,3
58,98,3
59,92,3
60,90,3
61,91,3
62,86,4
63,76,4
64,99,4
65,77,4
66,97,5
67,96,5
68,30,5
69,42,5
70,45,5
71,41,5
72,95,5
73,94,5
74,78,5
75,84,5
76,87,5
77,93,5
78,82,5
79,44,5
80,43,5
81,34,5
82,27,5
83,26,5
84,83,5
85,4,6
86,15,6
87,8,6
88,1,6
89,0,6
90,2,6
91,3,6
92,6,6
93,5,6
94,31,6
95,7,6
96,48,6
97,37,6
98,32,6
99,35,6
