sorted_position,original_node_index,consensus_module
0,58,0
1,59,0
2,60,0
3,61,0
4,63,0
5,62,0
6,75,0
7,74,0
8,72,0
9,73,0
10,70,0
11,71,0
12,68,0
13,67,0
14,65,0
15,64,0
16,80,0
17,81,0
18,85,0
19,89,0
20,35,1
21,32,1
22,0,1
23,1,1
24,8,1
25,15,1
26,2,1
27,3,1
28,4,1
29,5,1
30,6,1
31,7,1
32,48,1
33,37,1
34,31,1
35,28,2
36,29,2
37,49,2
38,36,2
39,14,2
40,19,2
41,17,3
42,46,3
43,20,3
44,38,3
45,40,3
46,10,3
47,9,3
48,18,3
49,33,3
50,16,3
51,25,3
52,24,3
53,21,3
54,22,3
55,23,3
56,12,3
57,13,3
58,39,3
59,11,3
60,30,4
61,47,4
62,26,4
63,27,4
64,94,4
65,95,4
66,93,4
67,82,4
68,87,4
69,84,4
70,97,4
71,96,4
72,43,4
73,34,4
74,42,4
75,41,4
76,45,4
77,44,4
78,78,4
79,83,4
80,57,5
81,56,5
82,50,5
83,51,5
84,52,5
85,53,5
86,54,5
87,55,5
88,88,5
89,90,5
90,79,5
91,91,5
92,92,5
93,98,5
94,66,5
95,69,5
96,86,6
97,76,6
98,77,6
99,99,6
