sorted_position,original_node_index,consensus_module_no_threshold
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,15,0
10,31,0
11,32,0
12,48,0
13,37,0
14,35,0
15,10,1
16,25,1
17,16,1
18,18,1
19,17,1
20,22,1
21,21,1
22,23,1
23,20,1
24,24,1
25,46,1
26,38,1
27,39,1
28,11,1
29,12,1
30,13,1
31,9,1
32,40,1
33,33,1
34,49,2
35,36,2
36,28,2
37,19,2
38,14,2
39,29,2
40,99,2
41,86,2
42,77,2
43,76,2
44,30,3
45,27,3
46,26,3
47,34,3
48,47,3
49,45,3
50,97,3
51,96,3
52,87,3
53,93,3
54,95,3
55,94,3
56,78,3
57,83,3
58,84,3
59,82,3
60,43,3
61,44,3
62,42,3
63,41,3
64,92,4
65,91,4
66,88,4
67,90,4
68,98,4
69,58,4
70,57,4
71,56,4
72,55,4
73,54,4
74,53,4
75,52,4
76,51,4
77,50,4
78,73,4
79,66,4
80,79,4
81,69,4
82,63,5
83,60,5
84,59,5
85,62,5
86,61,5
87,74,5
88,65,5
89,72,5
90,75,5
91,64,5
92,67,5
93,68,5
94,70,5
95,71,5
96,89,5
97,81,5
98,80,5
99,85,5
