node_index,consensus_module
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,3
10,3
11,3
12,3
13,3
14,2
15,1
16,3
17,3
18,3
19,2
20,3
21,3
22,3
23,3
24,3
25,3
26,4
27,4
28,2
29,2
30,4
31,1
32,1
33,3
34,4
35,1
36,2
37,1
38,3
39,3
40,3
41,4
42,4
43,4
44,4
45,4
46,3
47,4
48,1
49,2
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,5
67,0
68,0
69,5
70,0
71,0
72,0
73,0
74,0
75,0
76,6
77,6
78,4
79,5
80,0
81,0
82,4
83,4
84,4
85,0
86,6
87,4
88,5
89,0
90,5
91,5
92,5
93,4
94,4
95,4
96,4
97,4
98,5
99,6
