node_index,consensus_module_no_threshold
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,2
15,0
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,1
25,1
26,3
27,3
28,2
29,2
30,3
31,0
32,0
33,1
34,3
35,0
36,2
37,0
38,1
39,1
40,1
41,3
42,3
43,3
44,3
45,3
46,1
47,3
48,0
49,2
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,4
67,5
68,5
69,4
70,5
71,5
72,5
73,4
74,5
75,5
76,2
77,2
78,3
79,4
80,5
81,5
82,3
83,3
84,3
85,5
86,2
87,3
88,4
89,5
90,4
91,4
92,4
93,3
94,3
95,3
96,3
97,3
98,4
99,2
