original_node_index,sorted_position,module
0,0,0
1,47,1
2,46,1
3,55,1
4,53,1
5,57,1
6,42,1
7,43,1
8,40,1
9,79,2
10,78,2
11,83,2
12,82,2
13,81,2
14,80,2
15,41,1
16,61,2
17,56,1
18,60,2
19,3,0
20,59,2
21,58,2
22,73,2
23,72,2
24,74,2
25,75,2
26,77,2
27,76,2
28,62,2
29,63,2
30,2,0
31,1,0
32,20,0
33,14,0
34,71,2
35,13,0
36,12,0
37,10,0
38,11,0
39,70,2
40,8,0
41,9,0
42,5,0
43,4,0
44,7,0
45,6,0
46,19,0
47,18,0
48,16,0
49,17,0
50,15,0
51,51,1
52,48,1
53,49,1
54,52,1
55,39,1
56,50,1
57,54,1
58,69,2
59,68,2
60,67,2
61,66,2
62,65,2
63,64,2
64,88,2
65,89,2
66,45,1
67,91,2
68,90,2
69,44,1
70,94,2
71,95,2
72,93,2
73,92,2
74,86,2
75,87,2
76,84,2
77,85,2
78,30,0
79,31,0
80,97,2
81,36,0
82,21,0
83,96,2
84,98,2
85,35,0
86,34,0
87,99,2
88,23,0
89,22,0
90,29,0
91,28,0
92,24,0
93,25,0
94,26,0
95,27,0
96,32,0
97,33,0
98,38,0
99,37,0
