node_index,consensus_module
0,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,2
10,2
11,2
12,2
13,5
14,5
15,4
16,5
17,5
18,5
19,0
20,5
21,1
22,5
23,2
24,2
25,2
26,1
27,1
28,5
29,5
30,3
31,3
32,3
33,0
34,1
35,0
36,0
37,3
38,3
39,2
40,0
41,3
42,3
43,0
44,3
45,0
46,0
47,0
48,0
49,0
50,3
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,2
59,2
60,2
61,2
62,5
63,5
64,5
65,5
66,0
67,5
68,5
69,5
70,5
71,1
72,5
73,2
74,2
75,2
76,5
77,5
78,3
79,3
80,1
81,0
82,3
83,1
84,1
85,0
86,0
87,1
88,0
89,0
90,3
91,3
92,3
93,3
94,3
95,0
96,0
97,0
98,0
99,0
