node_index,consensus_module
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,2
10,2
11,2
12,2
13,2
14,2
15,6
16,2
17,2
18,2
19,0
20,2
21,2
22,2
23,2
24,2
25,2
26,5
27,5
28,0
29,0
30,5
31,6
32,6
33,2
34,5
35,6
36,0
37,6
38,2
39,2
40,2
41,5
42,5
43,5
44,5
45,5
46,2
47,2
48,6
49,0
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,4
77,4
78,5
79,3
80,1
81,1
82,5
83,5
84,5
85,1
86,4
87,5
88,3
89,1
90,3
91,3
92,3
93,5
94,5
95,5
96,5
97,5
98,3
99,4
