k,phi_obs,phi_rand_mean,phi_norm,n_nodes_degree_gt_k
0,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
1,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
2,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
3,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
4,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
5,0.15400799495055753,0.15401220281927203,0.9999726783421218,98
6,0.1561426116838488,0.1559407216494845,1.001294658843622,97
7,0.1660296225513617,0.16524128045867176,1.0047708544166547,92
8,0.17669072440523925,0.17462710505212514,1.0118172912074452,87
9,0.20950102529049897,0.1950717703349282,1.0739689547636568,77
10,0.22535211267605634,0.2087404426559356,1.0795805058605799,71
11,0.23748902546093065,0.21554433713784024,1.1018105537565426,68
12,0.2644808743169399,0.2317158469945355,1.1414017545514574,61
13,0.2837662337662338,0.24357792207792212,1.1649916024632774,56
14,0.3902439024390244,0.2859581881533101,1.364688680394785,42
15,0.4224021592442645,0.29747638326585696,1.4199519121716644,39
16,0.4624624624624625,0.3045345345345345,1.5185879104624793,37
17,0.6059113300492611,0.33645320197044337,1.800878477306003,29
18,0.71,0.3561333333333334,1.993635342568326,25
19,0.7684210526315789,0.38673684210526316,1.9869352204681545,20
20,0.8916666666666667,0.4169166666666666,2.138716769938038,16
21,0.8916666666666667,0.4169166666666666,2.138716769938038,16
22,0.9428571428571428,0.4227619047619048,2.230232034241946,15
23,0.9393939393939394,0.44136363636363635,2.1283899759697906,12
24,1.0,0.4966666666666666,2.0134228187919465,7
25,1.0,0.5086666666666666,1.9659239842726084,6
26,1.0,0.519,1.9267822736030829,5
27,1.0,0.5533333333333333,1.8072289156626506,3
28,1.0,0.6,1.6666666666666667,2
29,1.0,0.6,1.6666666666666667,2
