k,phi_obs,phi_rand_mean,phi_norm,n_nodes_degree_gt_k
0,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
1,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
2,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
3,0.1523397237682952,0.15233972376829513,1.0000000000000004,99
4,0.1523397237682952,0.15233972376829513,1.0000000000000004,99
5,0.1523397237682952,0.15233972376829513,1.0000000000000004,99
6,0.1601343784994401,0.16017021276595744,0.9997762738408189,95
7,0.16197666437886069,0.16203385952871197,0.9996470172961526,94
8,0.17802726543704891,0.17491045175086875,1.0178194822263655,87
9,0.20512820512820512,0.19298035298035296,1.0629486471562672,78
10,0.21727549467275495,0.20387747336377474,1.0657160454655743,73
11,0.2490079365079365,0.22495039682539683,1.1069459757442117,64
12,0.2896103896103896,0.24695454545454545,1.1727275117667166,56
13,0.35555555555555557,0.28043478260869564,1.2678725236864772,46
14,0.43333333333333335,0.30560256410256403,1.417963669924907,40
15,0.5,0.32441269841269843,1.5412466973285057,36
16,0.5383244206773619,0.3334581105169341,1.6143689527984175,34
17,0.6477832512315271,0.35992610837438427,1.7997673304591801,29
18,0.7292307692307692,0.37599999999999995,1.9394435351882164,26
19,0.7366666666666667,0.38196666666666673,1.9286150623963694,25
20,0.7878787878787878,0.39701298701298704,1.9845164104241628,22
21,0.8421052631578947,0.41654970760233917,2.021620103888811,19
22,0.8970588235294118,0.4279411764705882,2.0962199312714778,17
23,0.9083333333333333,0.4335833333333333,2.094945223909283,16
24,0.9545454545454546,0.4445454545454545,2.147239263803681,12
25,0.9047619047619048,0.471904761904762,1.9172552976791117,7
26,1.0,0.4850000000000001,2.0618556701030926,4
27,1.0,0.4933333333333333,2.027027027027027,3
