k,phi_obs,phi_rand_mean,phi_norm,n_nodes_degree_gt_k
0,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
1,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
2,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
3,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
4,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
5,0.15400799495055753,0.1540143067536293,0.9999590180730297,98
6,0.1559278350515464,0.1559428694158075,0.9999035905628937,97
7,0.16316035530621786,0.16326788218793825,0.9993414082409876,93
8,0.17428495054798182,0.17441058540497195,0.9992796603675264,87
9,0.1816044666470761,0.1818542462533059,0.9986264846085481,83
10,0.19963963963963963,0.19715315315315315,1.0126119539389506,75
11,0.2251984126984127,0.22154265873015874,1.0165013545888095,64
12,0.2506493506493506,0.2428636363636364,1.0320579663645355,56
13,0.27294117647058824,0.2576470588235294,1.0593607305936075,51
14,0.2849213691026827,0.2693709528214616,1.0577286307908924,47
15,0.3157894736842105,0.2964642375168691,1.0651857246904588,39
16,0.35984848484848486,0.31975378787878783,1.125392406562815,33
17,0.40923076923076923,0.35495384615384606,1.1529126213592236,26
18,0.4311594202898551,0.3669202898550725,1.175076528093216,24
19,0.4458874458874459,0.3783116883116884,1.1786245565854214,22
20,0.5087719298245614,0.3981286549707601,1.277908343125735,19
21,0.55,0.41658333333333325,1.3202640528105625,16
22,0.6538461538461539,0.44076923076923086,1.4834205933682372,13
23,0.7636363636363637,0.45363636363636367,1.6833667334669338,11
24,0.8,0.5359999999999999,1.4925373134328361,6
25,0.8,0.5569999999999999,1.4362657091561941,5
26,0.8,0.5569999999999999,1.4362657091561941,5
27,0.6666666666666666,0.5933333333333333,1.1235955056179776,4
28,0.6666666666666666,0.5933333333333333,1.1235955056179776,4
29,0.6666666666666666,0.6199999999999999,1.0752688172043012,3
30,1.0,0.62,1.6129032258064517,2
