k,phi_obs,phi_rand_mean,phi_norm
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,0.9883685456270926,0.988695434150046,0.999669373892442
83,0.9883685456270926,0.988695434150046,0.999669373892442
84,0.9883685456270926,0.988695434150046,0.999669373892442
85,0.9883685456270926,0.988695434150046,0.999669373892442
86,0.9766870934262507,0.9769464049870273,0.9997345693075352
87,0.9677759058935876,0.9683462624652401,0.9994109993565726
88,0.957719811828486,0.9579971330382965,0.999710519791504
89,0.957719811828486,0.9579971330382965,0.999710519791504
90,0.9480751646471378,0.9485922263692385,0.9994549167622007
91,0.9480751646471378,0.9485922263692385,0.9994549167622007
92,0.9381442966091714,0.9386204511498524,0.9994927081121047
93,0.8854084216496674,0.882932434629269,1.002804276888342
94,0.8653137381381071,0.8601307186219089,1.0060258509596103
95,0.8558369071414307,0.8503789653516921,1.0064182464667166
96,0.8558369071414307,0.8503789653516921,1.0064182464667166
97,0.8161044903554593,0.8087284486032479,1.0091205419630662
98,0.8066088085964415,0.7995673244713695,1.0088066181665534
99,0.7611742670330006,0.7441916139835756,1.0228202693101025
