k,phi_obs,phi_rand_mean,phi_norm
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,0.9887472779620996,0.9891551323652611,0.9995876739756824
80,0.9887472779620996,0.9891551323652611,0.9995876739756824
81,0.9887472779620996,0.9891551323652611,0.9995876739756824
82,0.9887472779620996,0.9891551323652611,0.9995876739756824
83,0.9887472779620996,0.9891551323652611,0.9995876739756824
84,0.9778333865935872,0.9783375246853425,0.9994846992177701
85,0.9778333865935872,0.9783375246853425,0.9994846992177701
86,0.9778333865935872,0.9783375246853425,0.9994846992177701
87,0.9778333865935872,0.9783375246853425,0.9994846992177701
88,0.9669841410970499,0.967199021453379,0.9997778323265814
89,0.9585115366284238,0.9589263701934425,0.9995673978963212
90,0.9585115366284238,0.9589263701934425,0.9995673978963212
91,0.9585115366284238,0.9589263701934425,0.9995673978963212
92,0.9585115366284238,0.9589263701934425,0.9995673978963212
93,0.9212272828535968,0.9214871243589531,0.9997180193857433
94,0.8815242752731504,0.8794153798958804,1.0023980651526923
95,0.876649072354516,0.8731526551411887,1.004004359595931
96,0.8664681424381242,0.8636482218458675,1.0032651263800783
97,0.8370406137623839,0.8296322984828766,1.0089296370127523
98,0.8212543149455036,0.8136969925362684,1.0092876371407977
99,0.7672012597597548,0.751878613227746,1.0203791493233598
